265 14:47:56 X:-0.203 Y:-0.002 T:+11.9.
452 14:48:42 X:+0.060 Y:+0.036 T:+11.7.
490 14:48:43 X:-0.170 Y:+0.041 T:+11.7.
527 14:48:43 X:-0.060 Y:+0.041 T:+11.7.
565 14:48:43 X:-0.048 Y:+0.043 T:+11.7.
603 14:48:44 X:-0.144 Y:+0.042 T:+11.7.
641 14:48:44 X:-0.006 Y:+0.038 T:+11.7.
679 14:48:45 X:-0.187 Y:+0.050 T:+11.7.
717 14:48:45 X:-0.016 Y:+0.036 T:+11.7.
755 14:48:45 X:-0.084 Y:+0.038 T:+11.7.
793 14:48:46 X:-0.136 Y:+0.046 T:+11.7.
831 14:48:46 X:-0.031 Y:+0.038 T:+11.7.
869 14:48:47 X:-0.158 Y:+0.039 T:+11.7.
907 14:48:47 X:-0.128 Y:+0.041 T:+11.7.
945 14:48:48 X:-0.076 Y:+0.038 T:+11.7.
975 14:48:48 X:-0.126 Y:+0.036 T:+11.7.
1013 14:48:48 X:-0.110 Y:+0.039 T:+11.7.
1051 14:48:49 X:-0.091 Y:+0.040 T:+11.7.
1089 14:48:49 X:-0.087 Y:+0.036 T:+11.7.
1127 14:48:50 X:-0.142 Y:+0.041 T:+11.7.
1165 14:48:50 X:-0.062 Y:+0.040 T:+11.7.
1203 14:48:50 X:-0.079 Y:+0.035 T:+11.7.
1241 14:48:51 X:-0.133 Y:+0.039 T:+11.7.
1279 14:48:51 X:-0.010 Y:+0.040 T:+11.7.
1317 14:48:52 X:-0.177 Y:+0.044 T:+11.7.
1355 14:48:52 X:-0.066 Y:+0.039 T:+11.7.
1393 14:48:52 X:-0.126 Y:+0.047 T:+11.7.
1431 14:48:53 X:-0.079 Y:+0.044 T:+11.7.
1469 14:48:53 X:+0.008 Y:+0.037 T:+11.7.
1506 14:48:54 X:-0.230 Y:+0.054 T:+11.7.
1544 14:48:54 X:+0.054 Y:+0.039 T:+11.7.
1582 14:48:54 X:-0.208 Y:+0.049 T:+11.7.
1693 14:48:56 X:-0.145 Y:+0.049 T:+11.6.
1731 14:48:56 X:+0.005 Y:+0.045 T:+11.6.
1769 14:48:56 X:-0.218 Y:+0.059 T:+11.6.
1807 14:48:57 X:+0.036 Y:+0.041 T:+11.6.
1845 14:48:57 X:-0.178 Y:+0.054 T:+11.6.
1883 14:48:58 X:-0.093 Y:+0.053 T:+11.6.
1921 14:48:58 X:-0.009 Y:+0.044 T:+11.6.
1959 14:48:59 X:-0.211 Y:+0.055 T:+11.6.
1997 14:48:59 X:+0.013 Y:+0.049 T:+11.6.
2035 14:48:59 X:-0.144 Y:+0.057 T:+11.6.
2070 14:49:00 X:-0.059 Y:+0.050 T:+11.6.
2108 14:49:00 X:-0.109 Y:+0.056 T:+11.6.
2146 14:49:01 X:-0.159 Y:+0.061 T:+11.6.
2184 14:49:01 X:-0.045 Y:+0.050 T:+11.6.
2222 14:49:01 X:-0.246 Y:+0.064 T:+11.6.
2260 14:49:02 X:-0.027 Y:+0.055 T:+11.6.
2298 14:49:02 X:-0.220 Y:+0.060 T:+11.6.
2336 14:49:03 X:-0.061 Y:+0.053 T:+11.6.
2374 14:49:03 X:-0.071 Y:+0.056 T:+11.6.
2412 14:49:03 X:-0.236 Y:+0.064 T:+11.6.
2450 14:49:04 X:+0.086 Y:+0.046 T:+11.6.
2488 14:49:04 X:-0.306 Y:+0.069 T:+11.6.
2526 14:49:05 X:+0.110 Y:+0.045 T:+11.6.
2564 14:49:05 X:-0.253 Y:+0.063 T:+11.6.
2602 14:49:05 X:-0.030 Y:+0.054 T:+11.6.
2640 14:49:06 X:-0.089 Y:+0.054 T:+11.6.
